Words	Occurrences	Frequency
use	235	0.98
model	233	0.97
paper	183	0.76
base	169	0.70
language	147	0.61
present	121	0.50
word	114	0.47
information	111	0.46
one	106	0.44
algorithm	104	0.43
process	101	0.42
data	100	0.42
grammar	98	0.41
parse	97	0.40
approach	93	0.39
sentence	89	0.37
systems	88	0.37
system	87	0.36
structure	85	0.35
method	81	0.34
two	81	0.34
analysis	81	0.34
describe	80	0.33
speech	77	0.32
result	72	0.30
network	70	0.29
performance	68	0.28
semantic	68	0.28
work	68	0.28
lexical	66	0.27
corpus	66	0.27
problem	66	0.27
knowledge	65	0.27
new	65	0.27
propose	62	0.26
feature	62	0.26
natural	60	0.25
order	60	0.25
set	60	0.25
show	60	0.25
syntactic	59	0.25
provide	58	0.24
text	56	0.23
rule	56	0.23
tag	55	0.23
algorithms	54	0.22
parser	53	0.22
level	52	0.22
tree	51	0.21
hundred	50	0.21
thousand	50	0.21
type	50	0.21
machine	50	0.21
discourse	50	0.21
give	47	0.20
design	47	0.20
linguistic	47	0.20
techniques	47	0.20
statistical	46	0.19
number	45	0.19
control	45	0.19
and	45	0.19
nine	45	0.19
time	44	0.18
different	44	0.18
form	43	0.18
methods	43	0.18
program	43	0.18
english	43	0.18
possible	42	0.17
generate	41	0.17
theory	40	0.17
grammars	40	0.17
applications	39	0.16
access	38	0.16
implement	38	0.16
develop	38	0.16
based	38	0.16
context	38	0.16
representation	38	0.16
implementation	38	0.16
error	37	0.15
ninety	37	0.15
also	37	0.15
logic	37	0.15
test	36	0.15
problems	36	0.15
communication	36	0.15
human	35	0.15
software	35	0.15
simple	35	0.15
translation	34	0.14
mean	34	0.14
allow	34	0.14
task	33	0.14
architecture	33	0.14
part	33	0.14
general	33	0.14
current	33	0.14
sequence	32	0.13
parallel	32	0.13
call	32	0.13
generation	32	0.13
abstract	32	0.13
class	32	0.13
train	32	0.13
application	31	0.13
case	31	0.13
computational	31	0.13
first	31	0.13
particular	31	0.13
include	31	0.13
coverage	31	0.13
large	31	0.13
support	31	0.13
constraints	30	0.12
multiple	30	0.12
make	30	0.12
learn	30	0.12
input	30	0.12
recognition	30	0.12
languages	30	0.12
state	29	0.12
function	29	0.12
cluster	29	0.12
discuss	29	0.12
apply	29	0.12
mt	28	0.12
development	28	0.12
lexicon	28	0.12
relations	28	0.12
three	28	0.12
improve	27	0.11
research	27	0.11
mobile	27	0.11
database	27	0.11
framework	27	0.11
experiment	26	0.11
available	26	0.11
tool	26	0.11
linear	26	0.11
standard	26	0.11
semantics	26	0.11
ambiguity	26	0.11
source	26	0.11
project	26	0.11
produce	25	0.10
automatic	25	0.10
point	25	0.10
second	25	0.10
automatically	25	0.10
memory	25	0.10
study	25	0.10
pattern	25	0.10
single	25	0.10
build	25	0.10
account	24	0.10
term	24	0.10
texts	24	0.10
head	24	0.10
representations	24	0.10
complex	24	0.10
object	24	0.10
modules	24	0.10
networks	24	0.10
wide	24	0.10
provides	24	0.10
efficient	24	0.10
domain	23	0.10
models	23	0.10
distributed	23	0.10
high	23	0.10
developed	23	0.10
dynamic	23	0.10
technique	23	0.10
interface	23	0.10
results	23	0.10
